addr	type	namespace	name	source
EXTERNAL:000000ed	Function	USER32.DLL	FlashWindowEx	IMPORTED
EXTERNAL:000000ee	Function	USER32.DLL	GetAncestor	IMPORTED
EXTERNAL:000000ef	Function	USER32.DLL	GetClassLongPtrW	IMPORTED
EXTERNAL:000000f0	Function	USER32.DLL	GetClassNameA	IMPORTED
EXTERNAL:000000f1	Function	USER32.DLL	GetClassNameW	IMPORTED
EXTERNAL:000000f2	Function	USER32.DLL	GetClientRect	IMPORTED
EXTERNAL:000000f3	Function	USER32.DLL	GetDC	IMPORTED
EXTERNAL:000000f4	Function	USER32.DLL	GetDesktopWindow	IMPORTED
EXTERNAL:000000f5	Function	USER32.DLL	GetDlgCtrlID	IMPORTED
EXTERNAL:000000f6	Function	USER32.DLL	GetDlgItem	IMPORTED
EXTERNAL:000000f7	Function	USER32.DLL	GetIconInfo	IMPORTED
EXTERNAL:000000f8	Function	USER32.DLL	GetMenu	IMPORTED
EXTERNAL:000000f9	Function	USER32.DLL	GetMessageW	IMPORTED
EXTERNAL:000000fa	Function	USER32.DLL	GetParent	IMPORTED
EXTERNAL:000000fb	Function	USER32.DLL	GetPropW	IMPORTED
EXTERNAL:000000fc	Function	USER32.DLL	GetScrollInfo	IMPORTED
EXTERNAL:000000fd	Function	USER32.DLL	GetSysColor	IMPORTED
EXTERNAL:000000fe	Function	USER32.DLL	GetSystemMetrics	IMPORTED
EXTERNAL:000000ff	Function	USER32.DLL	GetWindow	IMPORTED
EXTERNAL:00000100	Function	USER32.DLL	GetWindowDC	IMPORTED
EXTERNAL:00000101	Function	USER32.DLL	GetWindowLongPtrW	IMPORTED
EXTERNAL:00000102	Function	USER32.DLL	GetWindowPlacement	IMPORTED
EXTERNAL:00000103	Function	USER32.DLL	GetWindowRect	IMPORTED
EXTERNAL:00000104	Function	USER32.DLL	GetWindowTextLengthW	IMPORTED
EXTERNAL:00000105	Function	USER32.DLL	GetWindowThreadProcessId	IMPORTED
EXTERNAL:00000106	Function	USER32.DLL	IntersectRect	IMPORTED
EXTERNAL:00000107	Function	USER32.DLL	InvalidateRect	IMPORTED
EXTERNAL:00000108	Function	USER32.DLL	IsDialogMessageW	IMPORTED
EXTERNAL:00000109	Function	USER32.DLL	IsIconic	IMPORTED
EXTERNAL:0000010a	Function	USER32.DLL	IsWindow	IMPORTED
EXTERNAL:0000010b	Function	USER32.DLL	IsWindowEnabled	IMPORTED
EXTERNAL:0000010c	Function	USER32.DLL	IsWindowVisible	IMPORTED
EXTERNAL:0000010d	Function	USER32.DLL	IsZoomed	IMPORTED
EXTERNAL:0000010e	Function	USER32.DLL	LoadCursorW	IMPORTED
EXTERNAL:0000010f	Function	USER32.DLL	LoadImageA	IMPORTED
EXTERNAL:00000110	Function	USER32.DLL	LoadImageW	IMPORTED
EXTERNAL:00000111	Function	USER32.DLL	MapVirtualKeyA	IMPORTED
EXTERNAL:00000112	Function	USER32.DLL	MapWindowPoints	IMPORTED
EXTERNAL:00000113	Function	USER32.DLL	MessageBoxW	IMPORTED
EXTERNAL:00000114	Function	USER32.DLL	OpenIcon	IMPORTED
EXTERNAL:00000115	Function	USER32.DLL	PostMessageW	IMPORTED
EXTERNAL:00000116	Function	USER32.DLL	PostQuitMessage	IMPORTED
EXTERNAL:00000117	Function	USER32.DLL	RegisterClassExW	IMPORTED
EXTERNAL:00000118	Function	USER32.DLL	ReleaseCapture	IMPORTED
EXTERNAL:00000119	Function	USER32.DLL	ReleaseDC	IMPORTED
EXTERNAL:0000011a	Function	USER32.DLL	RemovePropW	IMPORTED
EXTERNAL:0000011b	Function	USER32.DLL	ScreenToClient	IMPORTED
EXTERNAL:0000011c	Function	USER32.DLL	SendMessageA	IMPORTED
EXTERNAL:0000011d	Function	USER32.DLL	SendMessageW	IMPORTED
EXTERNAL:0000011e	Function	USER32.DLL	SetClassLongPtrW	IMPORTED
EXTERNAL:0000011f	Function	USER32.DLL	SetCursor	IMPORTED
EXTERNAL:00000120	Function	USER32.DLL	SetFocus	IMPORTED
EXTERNAL:00000121	Function	USER32.DLL	SetForegroundWindow	IMPORTED
EXTERNAL:00000122	Function	USER32.DLL	SetLayeredWindowAttributes	IMPORTED
EXTERNAL:00000123	Function	USER32.DLL	SetParent	IMPORTED
EXTERNAL:00000124	Function	USER32.DLL	SetPropW	IMPORTED
EXTERNAL:00000125	Function	USER32.DLL	SetRect	IMPORTED
EXTERNAL:00000126	Function	USER32.DLL	SetScrollInfo	IMPORTED
EXTERNAL:00000127	Function	USER32.DLL	SetWindowLongPtrW	IMPORTED
EXTERNAL:00000128	Function	USER32.DLL	SetWindowPlacement	IMPORTED
EXTERNAL:00000129	Function	USER32.DLL	SetWindowPos	IMPORTED
EXTERNAL:0000012a	Function	USER32.DLL	ShowWindow	IMPORTED
EXTERNAL:0000012b	Function	USER32.DLL	SystemParametersInfoW	IMPORTED
EXTERNAL:0000012c	Function	USER32.DLL	TranslateAcceleratorW	IMPORTED
EXTERNAL:0000012d	Function	USER32.DLL	TranslateMDISysAccel	IMPORTED
EXTERNAL:0000012e	Function	USER32.DLL	TranslateMessage	IMPORTED
EXTERNAL:0000012f	Function	USER32.DLL	UnregisterClassW	IMPORTED
EXTERNAL:00000130	Function	USER32.DLL	UpdateWindow	IMPORTED
EXTERNAL:00000131	Function	USER32.DLL	VkKeyScanA	IMPORTED
EXTERNAL:00000132	Function	VERSION.DLL	GetFileVersionInfoSizeW	IMPORTED
EXTERNAL:00000133	Function	VERSION.DLL	GetFileVersionInfoW	IMPORTED
EXTERNAL:00000134	Function	VERSION.DLL	VerQueryValueW	IMPORTED
00400000	Label	Global	IMAGE_DOS_HEADER_00400000	DEFAULT
0040003c	Label	Global	IMAGE_DOS_HEADER_00400000.e_lfanew	DEFAULT
00400080	Label	Global	IMAGE_NT_HEADERS64_00400080	DEFAULT
00400086	Label	Global	IMAGE_NT_HEADERS64_00400080.FileHeader.NumberOfSections	DEFAULT
00400094	Label	Global	IMAGE_NT_HEADERS64_00400080.FileHeader.SizeOfOptionalHeader	DEFAULT
00400098	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.Magic	DEFAULT
004000f4	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.SizeOfHeapReserve+4	DEFAULT
00400104	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.NumberOfRvaAndSizes	DEFAULT
00400110	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.DataDirectory[1].VirtualAddress	DEFAULT
00400168	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.DataDirectory[12].VirtualAddress	DEFAULT
00400178	Label	Global	IMAGE_NT_HEADERS64_00400080.OptionalHeader.DataDirectory[14].VirtualAddress	DEFAULT
00400188	Label	Global	IMAGE_SECTION_HEADER_00400188	DEFAULT
00400190	Label	Global	IMAGE_SECTION_HEADER_00400188.Misc	DEFAULT
00400194	Label	Global	IMAGE_SECTION_HEADER_00400188.VirtualAddress	DEFAULT
004001af	Label	Global	IMAGE_SECTION_HEADER_00400188.Characteristics+3	DEFAULT
004001b0	Label	Global	IMAGE_SECTION_HEADER_004001b0	DEFAULT
004001b8	Label	Global	IMAGE_SECTION_HEADER_004001b0.Misc	DEFAULT
004001bc	Label	Global	IMAGE_SECTION_HEADER_004001b0.VirtualAddress	DEFAULT
004001d4	Label	Global	IMAGE_SECTION_HEADER_004001b0.Characteristics	DEFAULT
004001d7	Label	Global	IMAGE_SECTION_HEADER_004001b0.Characteristics+3	DEFAULT
00400318	Label	Global	DAT_00400318	DEFAULT
00401000	Function	Global	FUN_00401000	DEFAULT
00401010	Function	Global	FUN_00401010	DEFAULT
00401067	Label	Global	LAB_00401067	DEFAULT
00401084	Label	Global	LAB_00401084	DEFAULT
004010b0	Label	Global	LAB_004010b0	DEFAULT
004010c0	Label	Global	LAB_004010c0	DEFAULT
004010f0	Label	Global	LAB_004010f0	DEFAULT
00401108	Label	Global	LAB_00401108	DEFAULT
00401130	Function	Global	FUN_00401130	DEFAULT
